transaction_id,n_tests_triggered,tests_triggered,reasons
JE102202,1,off_hours_weekend,Posted on weekend or outside business hours
JE102137,1,off_hours_weekend,Posted on weekend or outside business hours
JE100337,1,off_hours_weekend,Posted on weekend or outside business hours
JE103010,1,off_hours_weekend,Posted on weekend or outside business hours
JE101920,1,off_hours_weekend,Posted on weekend or outside business hours
JE108117,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting
JE105151,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method)
JE104487,1,off_hours_weekend,Posted on weekend or outside business hours
JE100433,1,off_hours_weekend,Posted on weekend or outside business hours
JE103084,1,off_hours_weekend,Posted on weekend or outside business hours
JE104712,1,off_hours_weekend,Posted on weekend or outside business hours
JE107006,1,off_hours_weekend,Posted on weekend or outside business hours
JE101720,1,off_hours_weekend,Posted on weekend or outside business hours
JE105127,1,off_hours_weekend,Posted on weekend or outside business hours
JE108106,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting
JE102968,1,off_hours_weekend,Posted on weekend or outside business hours
JE108126,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method) | Month-end late-hour posting
JE104113,1,off_hours_weekend,Posted on weekend or outside business hours
JE106220,1,off_hours_weekend,Posted on weekend or outside business hours
JE105207,1,off_hours_weekend,Posted on weekend or outside business hours
JE104987,1,off_hours_weekend,Posted on weekend or outside business hours
JE100946,1,off_hours_weekend,Posted on weekend or outside business hours
JE107668,1,off_hours_weekend,Posted on weekend or outside business hours
JE106258,1,off_hours_weekend,Posted on weekend or outside business hours
JE105802,1,off_hours_weekend,Posted on weekend or outside business hours
JE101103,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method)
JE102265,1,off_hours_weekend,Posted on weekend or outside business hours
JE102493,1,off_hours_weekend,Posted on weekend or outside business hours
JE102064,1,off_hours_weekend,Posted on weekend or outside business hours
JE105221,1,off_hours_weekend,Posted on weekend or outside business hours
JE101765,1,off_hours_weekend,Posted on weekend or outside business hours
JE101874,1,off_hours_weekend,Posted on weekend or outside business hours
JE101645,1,off_hours_weekend,Posted on weekend or outside business hours
JE102764,1,off_hours_weekend,Posted on weekend or outside business hours
JE107938,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method)
JE106611,1,off_hours_weekend,Posted on weekend or outside business hours
JE104225,1,off_hours_weekend,Posted on weekend or outside business hours
JE108040,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method)
JE108100,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method)
JE100038,1,off_hours_weekend,Posted on weekend or outside business hours
JE105311,1,off_hours_weekend,Posted on weekend or outside business hours
JE108135,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting
JE104434,1,off_hours_weekend,Posted on weekend or outside business hours
JE105076,1,off_hours_weekend,Posted on weekend or outside business hours
JE100449,1,off_hours_weekend,Posted on weekend or outside business hours
JE100208,1,off_hours_weekend,Posted on weekend or outside business hours
JE105741,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE108122,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting
JE107410,1,off_hours_weekend,Posted on weekend or outside business hours
JE106236,1,off_hours_weekend,Posted on weekend or outside business hours
JE103926,1,off_hours_weekend,Posted on weekend or outside business hours
JE108114,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method) | Month-end late-hour posting
JE102832,1,off_hours_weekend,Posted on weekend or outside business hours
JE102622,1,off_hours_weekend,Posted on weekend or outside business hours
JE106659,1,off_hours_weekend,Posted on weekend or outside business hours
JE104649,1,off_hours_weekend,Posted on weekend or outside business hours
JE107070,1,off_hours_weekend,Posted on weekend or outside business hours
JE103357,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE100756,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method)
JE102713,1,off_hours_weekend,Posted on weekend or outside business hours
JE108109,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE106168,1,off_hours_weekend,Posted on weekend or outside business hours
JE100172,1,off_hours_weekend,Posted on weekend or outside business hours
JE107702,1,off_hours_weekend,Posted on weekend or outside business hours
JE103204,1,off_hours_weekend,Posted on weekend or outside business hours
JE106072,1,off_hours_weekend,Posted on weekend or outside business hours
JE100673,1,off_hours_weekend,Posted on weekend or outside business hours
JE101159,1,off_hours_weekend,Posted on weekend or outside business hours
JE107396,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE106294,1,off_hours_weekend,Posted on weekend or outside business hours
JE100573,1,off_hours_weekend,Posted on weekend or outside business hours
JE106274,1,off_hours_weekend,Posted on weekend or outside business hours
JE102672,1,off_hours_weekend,Posted on weekend or outside business hours
JE100518,1,off_hours_weekend,Posted on weekend or outside business hours
JE106111,1,off_hours_weekend,Posted on weekend or outside business hours
JE103124,1,off_hours_weekend,Posted on weekend or outside business hours
JE107250,1,off_hours_weekend,Posted on weekend or outside business hours
JE102218,1,off_hours_weekend,Posted on weekend or outside business hours
JE101388,1,off_hours_weekend,Posted on weekend or outside business hours
JE103724,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE101950,1,off_hours_weekend,Posted on weekend or outside business hours
JE103649,1,off_hours_weekend,Posted on weekend or outside business hours
JE103321,1,off_hours_weekend,Posted on weekend or outside business hours
JE102429,1,off_hours_weekend,Posted on weekend or outside business hours
JE102355,1,off_hours_weekend,Posted on weekend or outside business hours
JE107095,1,off_hours_weekend,Posted on weekend or outside business hours
JE108042,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method)
JE106042,1,off_hours_weekend,Posted on weekend or outside business hours
JE101459,1,off_hours_weekend,Posted on weekend or outside business hours
JE104039,1,off_hours_weekend,Posted on weekend or outside business hours
JE105952,1,off_hours_weekend,Posted on weekend or outside business hours
JE101630,1,off_hours_weekend,Posted on weekend or outside business hours
JE104077,1,off_hours_weekend,Posted on weekend or outside business hours
JE102503,1,off_hours_weekend,Posted on weekend or outside business hours
JE106667,1,off_hours_weekend,Posted on weekend or outside business hours
JE101707,1,off_hours_weekend,Posted on weekend or outside business hours
JE108092,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method)
JE101816,1,off_hours_weekend,Posted on weekend or outside business hours
JE108127,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method) | Month-end late-hour posting
JE100639,1,off_hours_weekend,Posted on weekend or outside business hours
JE104676,1,off_hours_weekend,Posted on weekend or outside business hours
JE108062,1,off_hours_weekend,Posted on weekend or outside business hours
JE100213,1,off_hours_weekend,Posted on weekend or outside business hours
JE103188,1,off_hours_weekend,Posted on weekend or outside business hours
JE107388,1,off_hours_weekend,Posted on weekend or outside business hours
JE107688,1,off_hours_weekend,Posted on weekend or outside business hours
JE101047,1,off_hours_weekend,Posted on weekend or outside business hours
JE102939,1,off_hours_weekend,Posted on weekend or outside business hours
JE107364,1,off_hours_weekend,Posted on weekend or outside business hours
JE103827,1,off_hours_weekend,Posted on weekend or outside business hours
JE107850,1,off_hours_weekend,Posted on weekend or outside business hours
JE104493,1,off_hours_weekend,Posted on weekend or outside business hours
JE103471,1,off_hours_weekend,Posted on weekend or outside business hours
JE102766,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE103814,1,off_hours_weekend,Posted on weekend or outside business hours
JE100361,1,off_hours_weekend,Posted on weekend or outside business hours
JE107345,1,off_hours_weekend,Posted on weekend or outside business hours
JE104432,1,off_hours_weekend,Posted on weekend or outside business hours
JE107348,1,off_hours_weekend,Posted on weekend or outside business hours
JE103577,1,off_hours_weekend,Posted on weekend or outside business hours
JE103241,1,off_hours_weekend,Posted on weekend or outside business hours
JE102300,1,off_hours_weekend,Posted on weekend or outside business hours
JE103568,1,off_hours_weekend,Posted on weekend or outside business hours
JE102541,1,off_hours_weekend,Posted on weekend or outside business hours
JE100670,1,off_hours_weekend,Posted on weekend or outside business hours
JE101646,1,off_hours_weekend,Posted on weekend or outside business hours
JE105855,1,off_hours_weekend,Posted on weekend or outside business hours
JE103316,1,off_hours_weekend,Posted on weekend or outside business hours
JE103306,1,off_hours_weekend,Posted on weekend or outside business hours
JE105488,1,off_hours_weekend,Posted on weekend or outside business hours
JE100003,1,off_hours_weekend,Posted on weekend or outside business hours
JE105635,1,off_hours_weekend,Posted on weekend or outside business hours
JE107646,1,off_hours_weekend,Posted on weekend or outside business hours
JE102028,1,off_hours_weekend,Posted on weekend or outside business hours
JE101151,1,off_hours_weekend,Posted on weekend or outside business hours
JE100829,1,off_hours_weekend,Posted on weekend or outside business hours
JE103086,1,off_hours_weekend,Posted on weekend or outside business hours
JE106941,1,off_hours_weekend,Posted on weekend or outside business hours
JE100663,1,off_hours_weekend,Posted on weekend or outside business hours
JE102083,1,off_hours_weekend,Posted on weekend or outside business hours
JE106531,1,off_hours_weekend,Posted on weekend or outside business hours
JE102627,1,off_hours_weekend,Posted on weekend or outside business hours
JE107230,1,off_hours_weekend,Posted on weekend or outside business hours
