transaction_id,n_tests_triggered,tests_triggered,reasons,ml_anomaly_score,ml_flag,risk_score,risk_level
JE108131,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.6862,anomaly,0.7431,High
JE108090,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.6848,anomaly,0.7424,High
JE108122,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.6815,anomaly,0.7408,High
JE108091,1.0,statistical_outlier,Statistical outlier for account 'Marketing Spend' (IQR method),0.672,anomaly,0.736,High
JE108135,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.6711,anomaly,0.7356,High
JE103717,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method),0.665,anomaly,0.7325,High
JE107873,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method),0.6637,anomaly,0.7318,High
JE108138,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.6617,anomaly,0.7308,High
JE108126,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method) | Month-end late-hour posting,0.6607,anomaly,0.7304,High
JE108099,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.6557,anomaly,0.7278,High
JE108051,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6513,anomaly,0.7256,High
JE108134,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method) | Month-end late-hour posting,0.6505,anomaly,0.7252,High
JE108107,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Travel & Expense' (IQR method) | Month-end late-hour posting,0.6478,anomaly,0.7239,High
JE108092,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method),0.6433,anomaly,0.7216,High
JE108050,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6424,anomaly,0.7212,High
JE108133,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.6376,anomaly,0.7188,High
JE108027,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6345,anomaly,0.7172,High
JE108124,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.6339,anomaly,0.717,High
JE108101,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Inventory' (IQR method) | Month-end late-hour posting,0.6318,anomaly,0.7159,High
JE108053,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6275,anomaly,0.7138,High
JE108033,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Marketing Spend' (IQR method),0.6207,anomaly,0.7104,High
JE108116,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.6187,anomaly,0.7094,High
JE108018,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6155,anomaly,0.7078,High
JE108114,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method) | Month-end late-hour posting,0.6154,anomaly,0.7077,High
JE108123,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method) | Month-end late-hour posting,0.6104,anomaly,0.7052,High
JE100615,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method),0.6066,anomaly,0.7033,High
JE107188,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.6008,anomaly,0.7004,High
JE106918,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.5997,anomaly,0.6999,Medium
JE106151,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.5838,anomaly,0.6919,Medium
JE108100,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method),0.5777,anomaly,0.6888,Medium
JE100324,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method),0.5755,anomaly,0.6878,Medium
JE108039,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method),0.5743,anomaly,0.6872,Medium
JE108042,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.5741,anomaly,0.6871,Medium
JE105225,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method),0.5738,anomaly,0.6869,Medium
JE108032,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Utilities' (IQR method),0.5733,anomaly,0.6866,Medium
JE108120,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Office Supplies' (IQR method) | Month-end late-hour posting,0.5715,anomaly,0.6858,Medium
JE106357,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method),0.5705,anomaly,0.6852,Medium
JE108020,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Travel & Expense' (IQR method),0.566,anomaly,0.683,Medium
JE107261,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.5655,anomaly,0.6828,Medium
JE103983,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.5647,anomaly,0.6824,Medium
JE106618,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.5602,anomaly,0.6801,Medium
JE106845,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.5586,anomaly,0.6793,Medium
JE108104,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.5581,anomaly,0.679,Medium
JE108038,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.5522,anomaly,0.6761,Medium
JE108105,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.5521,anomaly,0.676,Medium
JE105804,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.5514,anomaly,0.6757,Medium
JE108022,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Payroll' (IQR method),0.5501,anomaly,0.675,Medium
JE108001,1.0,duplicate,Duplicate vendor+amount+date combination,0.4473,anomaly,0.6736,Medium
JE104741,1.0,duplicate,Duplicate vendor+amount+date combination,0.4473,anomaly,0.6736,Medium
JE106075,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.546,anomaly,0.673,Medium
JE108137,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.542,anomaly,0.671,Medium
JE101492,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method),0.5376,anomaly,0.6688,Medium
JE108036,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method),0.5365,anomaly,0.6682,Medium
JE105158,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method),0.5347,anomaly,0.6674,Medium
JE105784,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.532,anomaly,0.666,Medium
JE108089,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.5315,anomaly,0.6658,Medium
JE103687,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.5297,anomaly,0.6648,Medium
JE102839,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.5267,anomaly,0.6634,Medium
JE106107,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.5211,anomaly,0.6606,Medium
JE101616,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method),0.5207,anomaly,0.6604,Medium
JE106043,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method),0.5184,anomaly,0.6592,Medium
JE107875,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.5158,anomaly,0.6579,Medium
JE108093,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.5131,anomaly,0.6566,Medium
JE101234,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.5118,anomaly,0.6559,Medium
JE108098,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.5031,anomaly,0.6516,Medium
JE106821,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method),0.501,anomaly,0.6505,Medium
JE105809,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.4956,anomaly,0.6478,Medium
JE100180,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method),0.4945,anomaly,0.6472,Medium
JE103718,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4934,anomaly,0.6467,Medium
JE100126,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.4896,anomaly,0.6448,Medium
JE103381,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.4889,anomaly,0.6444,Medium
JE105536,1.0,statistical_outlier,Statistical outlier for account 'Accounts Payable' (IQR method),0.4877,anomaly,0.6438,Medium
JE108031,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Marketing Spend' (IQR method),0.4854,anomaly,0.6427,Medium
JE105797,1.0,statistical_outlier,Statistical outlier for account 'Accounts Payable' (IQR method),0.4852,anomaly,0.6426,Medium
JE103496,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.4847,anomaly,0.6424,Medium
JE107984,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.4784,anomaly,0.6392,Medium
JE107376,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.4785,anomaly,0.6392,Medium
JE101380,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.4775,anomaly,0.6388,Medium
JE102575,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.4765,anomaly,0.6382,Medium
JE100763,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method),0.4727,anomaly,0.6364,Medium
JE106892,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.4729,anomaly,0.6364,Medium
JE100210,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4681,anomaly,0.634,Medium
JE101767,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4677,anomaly,0.6338,Medium
JE108034,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Payable' (IQR method),0.4669,anomaly,0.6335,Medium
JE100848,1.0,statistical_outlier,Statistical outlier for account 'Accounts Payable' (IQR method),0.4634,anomaly,0.6317,Medium
JE100881,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.4632,anomaly,0.6316,Medium
JE107552,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.4623,anomaly,0.6312,Medium
JE100479,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4623,anomaly,0.6312,Medium
JE100114,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4622,anomaly,0.6311,Medium
JE102974,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.4621,anomaly,0.631,Medium
JE107512,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.4612,anomaly,0.6306,Medium
JE102896,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.4611,anomaly,0.6306,Medium
JE105847,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Payroll' (IQR method) | Month-end late-hour posting,0.4611,anomaly,0.6306,Medium
JE107758,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.4604,anomaly,0.6302,Medium
JE105607,1.0,duplicate,Duplicate vendor+amount+date combination,0.359,normal,0.6295,Medium
JE108002,1.0,duplicate,Duplicate vendor+amount+date combination,0.359,normal,0.6295,Medium
JE108021,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Travel & Expense' (IQR method),0.4582,anomaly,0.6291,Medium
JE102837,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.455,anomaly,0.6275,Medium
JE105272,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.4542,anomaly,0.6271,Medium
JE105722,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.4537,anomaly,0.6268,Medium
JE106973,1.0,statistical_outlier,Statistical outlier for account 'Accounts Payable' (IQR method),0.4532,anomaly,0.6266,Medium
JE108035,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Rent' (IQR method),0.4515,anomaly,0.6258,Medium
JE105962,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.4502,anomaly,0.6251,Medium
JE106486,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.4501,anomaly,0.625,Medium
JE107938,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method),0.4481,anomaly,0.624,Medium
JE108096,1.0,statistical_outlier,Statistical outlier for account 'Marketing Spend' (IQR method),0.446,anomaly,0.623,Medium
JE108044,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method),0.4457,anomaly,0.6228,Medium
JE100655,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4449,anomaly,0.6225,Medium
JE101625,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4434,anomaly,0.6217,Medium
JE106849,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.4431,anomaly,0.6216,Medium
JE106646,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.4427,anomaly,0.6214,Medium
JE108026,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Payable' (IQR method),0.4419,anomaly,0.621,Medium
JE108049,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method),0.4414,anomaly,0.6207,Medium
JE108016,3.0,"round_number, off_hours_weekend, statistical_outlier",Round-number amount | Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method),0.4399,anomaly,0.62,Medium
JE102522,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.4381,anomaly,0.619,Medium
JE106767,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.4378,anomaly,0.6189,Medium
JE105637,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Rent' (IQR method),0.4372,normal,0.6186,Medium
JE101230,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method),0.4367,normal,0.6184,Medium
JE106843,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.4362,normal,0.6181,Medium
JE100285,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.4351,normal,0.6176,Medium
JE101497,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.4348,normal,0.6174,Medium
JE102027,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4329,normal,0.6165,Medium
JE101650,1.0,statistical_outlier,Statistical outlier for account 'Marketing Spend' (IQR method),0.4308,normal,0.6154,Medium
JE101454,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.4301,normal,0.615,Medium
JE100756,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.4283,normal,0.6142,Medium
JE108028,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Office Supplies' (IQR method),0.4275,normal,0.6138,Medium
JE108030,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Consulting Fees' (IQR method),0.4273,normal,0.6136,Medium
JE105674,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.4269,normal,0.6135,Medium
JE100461,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.426,normal,0.613,Medium
JE105940,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method),0.4258,normal,0.6129,Medium
JE103969,1.0,statistical_outlier,Statistical outlier for account 'Accounts Payable' (IQR method),0.4256,normal,0.6128,Medium
JE101103,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method),0.4254,normal,0.6127,Medium
JE104578,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4236,normal,0.6118,Medium
JE108024,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Marketing Spend' (IQR method),0.4234,normal,0.6117,Medium
JE107097,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.4209,normal,0.6105,Medium
JE100910,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.4192,normal,0.6096,Medium
JE103399,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.4171,normal,0.6086,Medium
JE101158,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.4169,normal,0.6085,Medium
JE100221,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.416,normal,0.608,Medium
JE108017,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Consulting Fees' (IQR method),0.4147,normal,0.6074,Medium
JE106351,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.4144,normal,0.6072,Medium
JE100584,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.4134,normal,0.6067,Medium
JE102179,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4125,normal,0.6062,Medium
JE108095,1.0,statistical_outlier,Statistical outlier for account 'Marketing Spend' (IQR method),0.4118,normal,0.6059,Medium
JE107199,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4116,normal,0.6058,Medium
JE101958,1.0,statistical_outlier,Statistical outlier for account 'Marketing Spend' (IQR method),0.4115,normal,0.6058,Medium
JE108097,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.4114,normal,0.6057,Medium
JE102990,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.4097,normal,0.6048,Medium
JE104048,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.4083,normal,0.6042,Medium
JE107078,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.4062,normal,0.6031,Medium
JE106614,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.4051,normal,0.6026,Medium
JE105771,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method),0.4038,normal,0.6019,Medium
JE104717,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.4016,normal,0.6008,Medium
JE106959,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.4007,normal,0.6004,Medium
JE102219,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.4006,normal,0.6003,Medium
JE104187,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.3979,normal,0.599,Medium
JE105671,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.3959,normal,0.598,Medium
JE103413,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.3953,normal,0.5976,Medium
JE107333,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.3944,normal,0.5972,Medium
JE106253,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.3927,normal,0.5964,Medium
JE107021,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.3929,normal,0.5964,Medium
JE108012,1.0,duplicate,Duplicate vendor+amount+date combination,0.2925,normal,0.5962,Medium
JE100308,1.0,duplicate,Duplicate vendor+amount+date combination,0.2925,normal,0.5962,Medium
JE107224,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.3921,normal,0.596,Medium
JE107625,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.3908,normal,0.5954,Medium
JE103193,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.3898,normal,0.5949,Medium
JE108003,1.0,duplicate,Duplicate vendor+amount+date combination,0.2897,normal,0.5948,Medium
JE104825,1.0,duplicate,Duplicate vendor+amount+date combination,0.2897,normal,0.5948,Medium
JE106133,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.3894,normal,0.5947,Medium
JE105176,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.3886,normal,0.5943,Medium
JE101292,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.3878,normal,0.5939,Medium
JE106064,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.3873,normal,0.5936,Medium
JE101427,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.3869,normal,0.5934,Medium
JE107415,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.3865,normal,0.5933,Medium
JE106059,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.3862,normal,0.5931,Medium
