transaction_id,n_tests_triggered,tests_triggered,reasons,ml_anomaly_score,ml_flag,risk_score,risk_level,date,time,department,account,vendor,amount,entry_type,posted_by,description,day_of_week,is_weekend,hour,month,day
JE108119,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method) | Month-end late-hour posting,0.7996,anomaly,0.7998,High,2025-06-28,20:08:00,Finance,Utilities,"Baker, Mason and White",152614.14563427083,Debit,Linda Burns,Period-end adjustment,Saturday,True,20,6,28
JE108118,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.7662,anomaly,0.7831,High,2025-06-29,21:25:00,Finance,Marketing Spend,Smith-Bowen,106238.02517589806,Debit,Dana Kennedy,Period-end adjustment,Sunday,True,21,6,29
JE108128,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.72,anomaly,0.76,High,2025-09-28,18:36:00,Finance,Accounts Payable,Doyle Ltd,98423.44704900336,Debit,Dana Kennedy,Period-end adjustment,Sunday,True,18,9,28
JE108067,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.7148,anomaly,0.7574,High,2025-10-13,08:27:30,Procurement,Consulting Fees,QuickPay Consulting Ltd,164963.48583104883,Debit,Vanessa Patel,Advisory services,Monday,False,8,10,13
JE108129,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.7124,anomaly,0.7562,High,2025-09-28,18:02:00,Finance,Accounts Payable,"Mcclure, Ward and Lee",133581.12160383593,Debit,Clifford Ford,Period-end adjustment,Sunday,True,18,9,28
JE108094,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.7116,anomaly,0.7558,High,2025-06-13,16:26:12,Procurement,Inventory,Wilkerson-Day,421258.97579690337,Credit,Angela Morton,Urgent one-off payment,Friday,False,16,6,13
JE108113,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method) | Month-end late-hour posting,0.7053,anomaly,0.7526,High,2025-06-30,21:18:00,Finance,Utilities,"Snyder, Campos and Callahan",162549.9017513638,Debit,Linda Burns,Period-end adjustment,Monday,False,21,6,30
JE108132,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method) | Month-end late-hour posting,0.6985,anomaly,0.7492,High,2025-12-29,21:44:00,Finance,Utilities,Baker and Sons,215608.70808445037,Debit,Angela Dennis,Period-end adjustment,Monday,False,21,12,29
JE108040,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method),0.6877,anomaly,0.7438,High,2025-06-22,02:54:00,Sales,Accounts Payable,Garcia-James,113666.97,Debit,Matthew Lucas,Off-hours entry,Sunday,True,2,6,22
JE108140,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.6865,anomaly,0.7432,High,2025-12-31,20:36:00,Finance,Accounts Receivable,Carlson-Cruz,87963.26140255357,Debit,Troy Nielsen,Period-end adjustment,Wednesday,False,20,12,31
JE108131,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.6862,anomaly,0.7431,High,2025-12-31,20:19:00,Finance,Marketing Spend,"Baker, Mason and White",636639.1686618249,Debit,Julian Chapman,Period-end adjustment,Wednesday,False,20,12,31
JE108090,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.6848,anomaly,0.7424,High,2025-05-08,16:51:07,Operations,Travel & Expense,Dudley Group,168625.92150560964,Debit,David Brown,Urgent one-off payment,Thursday,False,16,5,8
JE108122,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.6815,anomaly,0.7408,High,2025-09-28,23:19:00,Finance,Marketing Spend,Arnold Ltd,62125.70551395485,Debit,Joseph Obrien,Period-end adjustment,Sunday,True,23,9,28
JE108091,1.0,statistical_outlier,Statistical outlier for account 'Marketing Spend' (IQR method),0.672,anomaly,0.736,High,2025-05-19,16:43:49,Operations,Marketing Spend,Morales-Jones,274720.9712585706,Debit,Joseph Obrien,Urgent one-off payment,Monday,False,16,5,19
JE108135,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.6711,anomaly,0.7356,High,2025-12-29,21:04:00,Finance,Marketing Spend,"Snyder, Campos and Callahan",182352.3555535618,Debit,Clifford Ford,Period-end adjustment,Monday,False,21,12,29
JE103717,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method),0.665,anomaly,0.7325,High,2025-04-22,00:43:07,Operations,Accounts Receivable,"Snyder, Campos and Callahan",75913.66,Credit,Angela Morton,Expedite real-time e-tailers,Tuesday,False,0,4,22
JE107873,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method),0.6637,anomaly,0.7318,High,2025-06-09,01:29:06,Operations,Inventory,Morales-Jones,146636.11,Debit,Joseph Obrien,Streamline integrated relationships,Monday,False,1,6,9
JE108138,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.6617,anomaly,0.7308,High,2025-12-31,23:02:00,Finance,Accounts Receivable,"Ross, Robinson and Bright",103401.62399160952,Debit,Michelle Ross,Period-end adjustment,Wednesday,False,23,12,31
JE108126,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method) | Month-end late-hour posting,0.6607,anomaly,0.7304,High,2025-09-29,22:51:00,Finance,Travel & Expense,"Rodriguez, Figueroa and Sanchez",103306.8902010946,Debit,Julian Chapman,Period-end adjustment,Monday,False,22,9,29
JE108099,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.6557,anomaly,0.7278,High,2025-09-25,10:19:04,Marketing,Consulting Fees,Dudley Group,1347904.2762529412,Debit,Jacqueline Lam,Urgent one-off payment,Thursday,False,10,9,25
JE108051,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6513,anomaly,0.7256,High,2025-09-04,23:34:00,Sales,Accounts Receivable,Frazier Inc,117539.16,Debit,Clifford Ford,Off-hours entry,Thursday,False,23,9,4
JE108134,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method) | Month-end late-hour posting,0.6505,anomaly,0.7252,High,2025-12-28,20:12:00,Finance,Payroll,Arnold Ltd,162979.2249311476,Debit,Brandon Hopkins,Period-end adjustment,Sunday,True,20,12,28
JE108107,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Travel & Expense' (IQR method) | Month-end late-hour posting,0.6478,anomaly,0.7239,High,2025-03-31,18:49:00,Finance,Travel & Expense,Baker and Sons,168451.42019280393,Debit,Miranda Khan,Period-end adjustment,Monday,False,18,3,31
JE108092,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method),0.6433,anomaly,0.7216,High,2025-12-15,01:36:20,Sales,Inventory,"Watts, Robinson and Nguyen",355355.63784633577,Credit,Diana Washington,Urgent one-off payment,Monday,False,1,12,15
JE108050,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6424,anomaly,0.7212,High,2025-11-02,17:58:00,Procurement,Accounts Receivable,"Rodriguez, Figueroa and Sanchez",49682.43,Debit,Linda Burns,Off-hours entry,Sunday,True,17,11,2
JE108133,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.6376,anomaly,0.7188,High,2025-12-30,19:22:00,Finance,Accounts Payable,"Gardner, Robinson and Lawrence",185757.70841811167,Debit,Brandon Hopkins,Period-end adjustment,Tuesday,False,19,12,30
JE108027,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6345,anomaly,0.7172,High,2025-03-03,16:30:51,Operations,Accounts Receivable,Gray-Mayo,200000.0,Debit,Matthew Arroyo,Manual adjustment entry,Monday,False,16,3,3
JE108124,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.6339,anomaly,0.717,High,2025-09-29,19:41:00,Finance,Accounts Receivable,James Group,177385.46431805234,Debit,Matthew Lucas,Period-end adjustment,Monday,False,19,9,29
JE108101,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Inventory' (IQR method) | Month-end late-hour posting,0.6318,anomaly,0.7159,High,2025-03-31,20:56:00,Finance,Inventory,Wilkerson-Day,111988.9038792013,Debit,Jason Shields,Period-end adjustment,Monday,False,20,3,31
JE108053,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6275,anomaly,0.7138,High,2025-04-05,09:46:00,Marketing,Accounts Receivable,"Romero, Gonzalez and Brooks",41439.25,Debit,Joseph Obrien,Off-hours entry,Saturday,True,9,4,5
JE108033,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Marketing Spend' (IQR method),0.6207,anomaly,0.7104,High,2025-05-01,16:44:42,Operations,Marketing Spend,"Dyer, Potter and Mack",250000.0,Debit,Brandon Hopkins,Manual adjustment entry,Thursday,False,16,5,1
JE108116,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.6187,anomaly,0.7094,High,2025-06-30,20:05:00,Finance,Accounts Receivable,Gray-Mayo,90545.44049067891,Debit,Angela Dennis,Period-end adjustment,Monday,False,20,6,30
JE108018,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Receivable' (IQR method),0.6155,anomaly,0.7078,High,2025-05-29,14:29:24,Marketing,Accounts Receivable,Blair PLC,250000.0,Debit,Angela Dennis,Manual adjustment entry,Thursday,False,14,5,29
JE108114,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method) | Month-end late-hour posting,0.6154,anomaly,0.7077,High,2025-06-30,23:21:00,Finance,Inventory,"Ferrell, Rice and Maddox",179839.61520775058,Debit,Michelle Ross,Period-end adjustment,Monday,False,23,6,30
JE108123,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method) | Month-end late-hour posting,0.6104,anomaly,0.7052,High,2025-09-28,20:21:00,Finance,Inventory,"Mcclure, Ward and Lee",119320.71065189296,Debit,Matthew Arroyo,Period-end adjustment,Sunday,True,20,9,28
JE100615,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method),0.6066,anomaly,0.7033,High,2025-05-22,23:25:48,IT,Office Supplies,Rodriguez-Graham,50954.15,Credit,Vanessa Patel,Benchmark b2c communities,Thursday,False,23,5,22
JE107188,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.6008,anomaly,0.7004,High,2025-03-31,10:10:46,Sales,Utilities,"Romero, Gonzalez and Brooks",43330.89,Credit,Tanya Campos,Brand scalable users,Monday,False,10,3,31
JE106918,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.5997,anomaly,0.6999,Medium,2025-09-25,09:07:13,Marketing,Travel & Expense,"Romero, Gonzalez and Brooks",53963.16,Credit,Diana Washington,Brand clicks-and-mortar initiatives,Thursday,False,9,9,25
JE106151,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.5838,anomaly,0.6919,Medium,2025-01-02,12:18:38,Sales,Travel & Expense,Wilkerson-Day,38634.52,Debit,Joseph Obrien,Embrace compelling web services,Thursday,False,12,1,2
JE108100,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method),0.5777,anomaly,0.6888,Medium,2025-07-25,03:08:08,Sales,Marketing Spend,Perez Inc,138225.55260502436,Debit,Nicholas Mcbride,Urgent one-off payment,Friday,False,3,7,25
JE100324,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method),0.5755,anomaly,0.6878,Medium,2025-03-19,00:32:29,Procurement,Payroll,"Romero, Gonzalez and Brooks",128105.75,Credit,Nicholas Mcbride,Extend cross-platform initiatives,Wednesday,False,0,3,19
JE108039,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method),0.5743,anomaly,0.6872,Medium,2025-05-03,10:32:00,Finance,Accounts Payable,Frazier Inc,85773.53,Credit,Angela Dennis,Off-hours entry,Saturday,True,10,5,3
JE108042,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.5741,anomaly,0.6871,Medium,2025-06-26,02:31:00,Operations,Travel & Expense,Galloway-Wyatt,63130.64,Debit,Cynthia Allen,Off-hours entry,Thursday,False,2,6,26
JE105225,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method),0.5738,anomaly,0.6869,Medium,2025-01-27,23:12:53,Procurement,Office Supplies,"Ferrell, Rice and Maddox",65097.04,Credit,Michelle Ross,Redefine e-business functionalities,Monday,False,23,1,27
JE108032,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Utilities' (IQR method),0.5733,anomaly,0.6866,Medium,2025-12-22,09:37:08,Marketing,Utilities,"Mcclain, Miller and Henderson",500000.0,Debit,Miranda Khan,Manual adjustment entry,Monday,False,9,12,22
JE108120,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Office Supplies' (IQR method) | Month-end late-hour posting,0.5715,anomaly,0.6858,Medium,2025-06-30,20:25:00,Finance,Office Supplies,Blake and Sons,61729.007589814406,Debit,Angela Morton,Period-end adjustment,Monday,False,20,6,30
JE106357,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method),0.5705,anomaly,0.6852,Medium,2025-03-14,02:21:43,Operations,Payroll,Morales-Jones,131574.73,Credit,Clifford Ford,Evolve world-class communities,Friday,False,2,3,14
JE108020,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Travel & Expense' (IQR method),0.566,anomaly,0.683,Medium,2025-11-11,10:10:16,Operations,Travel & Expense,"Snyder, Campos and Callahan",200000.0,Credit,Cynthia Allen,Manual adjustment entry,Tuesday,False,10,11,11
JE107261,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.5655,anomaly,0.6828,Medium,2025-01-27,21:01:55,HR,Travel & Expense,Blake and Sons,40441.93,Credit,Linda Burns,Optimize bricks-and-clicks web-readiness,Monday,False,21,1,27
JE103983,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.5647,anomaly,0.6824,Medium,2025-01-01,10:17:57,Operations,Inventory,"Mcclain, Miller and Henderson",169249.92,Credit,Corey Herrera,Transform end-to-end mindshare,Wednesday,False,10,1,1
JE106618,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.5602,anomaly,0.6801,Medium,2025-10-27,13:22:02,IT,Rent,Wilkerson-Day,391582.27,Credit,Michael Brown,Cultivate interactive initiatives,Monday,False,13,10,27
JE106845,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.5586,anomaly,0.6793,Medium,2025-01-27,08:39:54,Finance,Rent,Morales-Jones,406710.9,Credit,Michelle Ross,Extend cross-media web services,Monday,False,8,1,27
JE108104,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.5581,anomaly,0.679,Medium,2025-03-28,21:23:00,Finance,Marketing Spend,Arnold Ltd,98918.24041614642,Debit,Vanessa Patel,Period-end adjustment,Friday,False,21,3,28
JE108038,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.5522,anomaly,0.6761,Medium,2025-06-28,11:28:00,Operations,Travel & Expense,Gray-Mayo,55045.33,Credit,Andre Rivera,Off-hours entry,Saturday,True,11,6,28
JE108105,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.5521,anomaly,0.676,Medium,2025-03-31,18:56:00,Finance,Accounts Payable,"Dyer, Potter and Mack",125635.14643609629,Debit,Tanya Campos,Period-end adjustment,Monday,False,18,3,31
JE105804,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.5514,anomaly,0.6757,Medium,2025-09-22,08:30:09,IT,Accounts Receivable,Dudley Group,37244.32,Credit,Andre Rivera,Deploy one-to-one schemas,Monday,False,8,9,22
JE108022,2.0,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Payroll' (IQR method),0.5501,anomaly,0.675,Medium,2025-02-27,11:40:21,Finance,Payroll,Wilkerson-Day,250000.0,Credit,Michelle Ross,Manual adjustment entry,Thursday,False,11,2,27
JE108001,1.0,duplicate,Duplicate vendor+amount+date combination,0.4473,anomaly,0.6736,Medium,2025-06-30,10:54:47,IT,Travel & Expense,Burton Ltd,19442.97,Credit,Tanya Campos,Strategize frictionless bandwidth,Monday,False,10,6,30
JE104741,1.0,duplicate,Duplicate vendor+amount+date combination,0.4473,anomaly,0.6736,Medium,2025-06-30,10:54:47,IT,Travel & Expense,Burton Ltd,19442.97,Credit,Tanya Campos,Strategize frictionless bandwidth,Monday,False,10,6,30
JE106075,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.546,anomaly,0.673,Medium,2025-01-01,15:00:11,Finance,Rent,Morales-Jones,281788.46,Credit,Andre Rivera,Visualize wireless e-markets,Wednesday,False,15,1,1
JE108137,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.542,anomaly,0.671,Medium,2025-12-29,19:33:00,Finance,Accounts Payable,"Henderson, Ramirez and Lewis",116658.45487512952,Debit,Linda Burns,Period-end adjustment,Monday,False,19,12,29
JE101492,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method),0.5376,anomaly,0.6688,Medium,2025-12-10,00:51:48,IT,Inventory,Davis and Sons,125769.1,Debit,Linda Burns,Streamline 24/365 niches,Wednesday,False,0,12,10
JE108036,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method),0.5365,anomaly,0.6682,Medium,2025-07-26,16:41:00,IT,Marketing Spend,"Dyer, Potter and Mack",59017.38,Credit,Tanya Campos,Off-hours entry,Saturday,True,16,7,26
JE105158,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method),0.5347,anomaly,0.6674,Medium,2025-03-18,06:58:22,Finance,Marketing Spend,Dudley Group,64530.44,Credit,Miranda Khan,Empower scalable interfaces,Tuesday,False,6,3,18
JE105784,1.0,statistical_outlier,Statistical outlier for account 'Office Supplies' (IQR method),0.532,anomaly,0.666,Medium,2025-06-30,13:28:33,IT,Office Supplies,"Romero, Gonzalez and Brooks",42826.67,Debit,Cynthia Allen,Integrate seamless roi,Monday,False,13,6,30
JE108089,1.0,statistical_outlier,Statistical outlier for account 'Payroll' (IQR method),0.5315,anomaly,0.6658,Medium,2025-09-01,15:42:45,Procurement,Payroll,Garcia-James,506160.42258949904,Credit,Jason Shields,Urgent one-off payment,Monday,False,15,9,1
JE103687,1.0,statistical_outlier,Statistical outlier for account 'Travel & Expense' (IQR method),0.5297,anomaly,0.6648,Medium,2025-03-24,12:53:27,Finance,Travel & Expense,"Romero, Gonzalez and Brooks",51968.88,Debit,Clifford Ford,Repurpose world-class e-tailers,Monday,False,12,3,24
JE102839,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.5267,anomaly,0.6634,Medium,2025-09-05,10:21:27,IT,Inventory,Morales-Jones,106137.79,Debit,Michelle Ross,Re-intermediate viral e-commerce,Friday,False,10,9,5
JE106107,1.0,statistical_outlier,Statistical outlier for account 'Accounts Receivable' (IQR method),0.5211,anomaly,0.6606,Medium,2025-08-07,16:24:06,IT,Accounts Receivable,"Snyder, Campos and Callahan",48277.43,Debit,Jason Shields,Implement sticky info-mediaries,Thursday,False,16,8,7
JE101616,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method),0.5207,anomaly,0.6604,Medium,2025-01-09,23:46:25,Operations,Payroll,"Dyer, Potter and Mack",222119.67,Debit,Andre Rivera,Benchmark intuitive deliverables,Thursday,False,23,1,9
JE106043,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method),0.5184,anomaly,0.6592,Medium,2025-09-08,06:54:01,Procurement,Utilities,"Romero, Gonzalez and Brooks",45107.89,Credit,Matthew Lucas,Orchestrate next-generation info-mediaries,Monday,False,6,9,8
JE107875,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.5158,anomaly,0.6579,Medium,2025-08-01,09:53:47,IT,Inventory,"Watts, Robinson and Nguyen",143661.28,Debit,Nicholas Mcbride,Cultivate visionary eyeballs,Friday,False,9,8,1
JE108093,1.0,statistical_outlier,Statistical outlier for account 'Utilities' (IQR method),0.5131,anomaly,0.6566,Medium,2025-08-14,08:39:24,Finance,Utilities,Carlson-Cruz,151186.85920115712,Debit,Andre Rivera,Urgent one-off payment,Thursday,False,8,8,14
JE101234,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method),0.5118,anomaly,0.6559,Medium,2025-12-11,23:55:29,IT,Travel & Expense,"Henderson, Ramirez and Lewis",54483.88,Credit,Nicholas Mcbride,Scale back-end web services,Thursday,False,23,12,11
JE108098,1.0,statistical_outlier,Statistical outlier for account 'Rent' (IQR method),0.5031,anomaly,0.6516,Medium,2025-02-10,16:39:23,HR,Rent,Doyle Ltd,716360.6068154115,Credit,Clifford Ford,Urgent one-off payment,Monday,False,16,2,10
