transaction_id,ml_anomaly_score,ml_flag
JE107924,0.3572,normal
JE107680,0.3283,normal
JE105290,0.2108,normal
JE104095,0.3523,normal
JE106420,0.2026,normal
JE103528,0.3047,normal
JE103866,0.0683,normal
JE104254,0.3247,normal
JE101269,0.33,normal
JE107054,0.2196,normal
JE101107,0.2291,normal
JE103311,0.2551,normal
JE108129,0.7124,anomaly
JE100248,0.1675,normal
JE102538,0.2593,normal
JE104668,0.1811,normal
JE100211,0.2787,normal
JE105358,0.1456,normal
JE105523,0.1717,normal
JE102689,0.2472,normal
JE107187,0.2277,normal
JE106267,0.3042,normal
JE103759,0.4876,anomaly
JE106881,0.274,normal
JE102751,0.2705,normal
JE100696,0.1391,normal
JE104523,0.21,normal
JE106753,0.2029,normal
JE105024,0.2626,normal
JE100951,0.0799,normal
JE101740,0.2816,normal
JE104288,0.2559,normal
JE103650,0.2388,normal
JE107398,0.3047,normal
JE101764,0.2118,normal
JE104598,0.5265,anomaly
JE101176,0.0878,normal
JE102420,0.401,normal
JE102005,0.2794,normal
JE107262,0.2784,normal
JE102920,0.1954,normal
JE106682,0.4255,normal
JE106133,0.3894,normal
JE101223,0.2509,normal
JE103747,0.1502,normal
JE105842,0.1678,normal
JE105377,0.2915,normal
JE102268,0.4725,anomaly
JE102821,0.2709,normal
JE101004,0.1197,normal
JE108061,0.6536,anomaly
JE102173,0.2253,normal
JE103617,0.272,normal
JE102387,0.1201,normal
JE104644,0.2161,normal
JE103400,0.1778,normal
JE100992,0.266,normal
JE102271,0.2341,normal
JE106470,0.2133,normal
JE106231,0.3096,normal
JE104544,0.2159,normal
JE104052,0.2006,normal
JE105880,0.1272,normal
JE106597,0.291,normal
JE100742,0.1414,normal
JE104061,0.1609,normal
JE106561,0.4477,anomaly
JE101948,0.1787,normal
JE104484,0.1704,normal
JE102346,0.2414,normal
JE101990,0.0586,normal
JE101075,0.4637,anomaly
JE107794,0.2015,normal
JE105783,0.3516,normal
JE103630,0.1265,normal
JE106796,0.3406,normal
JE104679,0.202,normal
JE104716,0.1724,normal
JE106737,0.1526,normal
JE105916,0.203,normal
JE100913,0.2401,normal
JE105055,0.1822,normal
JE100897,0.2871,normal
JE100233,0.2966,normal
JE100101,0.2919,normal
JE104352,0.1404,normal
JE102831,0.2126,normal
JE100346,0.0956,normal
JE106781,0.4247,normal
JE108130,0.9646,anomaly
JE101967,0.2543,normal
JE102250,0.2882,normal
JE100352,0.1732,normal
JE100972,0.1835,normal
JE102307,0.224,normal
JE102987,0.133,normal
JE104994,0.2857,normal
JE105520,0.3727,normal
JE102884,0.2862,normal
JE106432,0.1574,normal
JE107431,0.1509,normal
JE103410,0.3331,normal
JE106603,0.222,normal
JE102209,0.1431,normal
JE105771,0.4038,normal
JE104151,0.2346,normal
JE100562,0.2875,normal
JE101033,0.1524,normal
JE106852,0.161,normal
JE105462,0.2385,normal
JE107505,0.3545,normal
JE103152,0.2613,normal
JE105874,0.3814,normal
JE102714,0.1809,normal
JE106183,0.3417,normal
JE105686,0.2599,normal
JE100904,0.2013,normal
JE102435,0.1199,normal
JE106497,0.3978,normal
JE101681,0.2205,normal
JE106381,0.2816,normal
JE105410,0.3584,normal
JE104087,0.2185,normal
JE102977,0.1694,normal
JE108033,0.6207,anomaly
JE106544,0.212,normal
JE104964,0.2723,normal
JE105476,0.2992,normal
JE102200,0.1913,normal
JE104796,0.1059,normal
JE105286,0.226,normal
JE105450,0.2388,normal
JE101926,0.3479,normal
JE107289,0.5552,anomaly
JE103611,0.253,normal
JE103748,0.1235,normal
JE106292,0.2387,normal
JE105141,0.2608,normal
JE101544,0.168,normal
JE106617,0.2103,normal
JE101842,0.3192,normal
JE106910,0.2807,normal
JE100966,0.2648,normal
JE101916,0.4524,anomaly
JE102408,0.2607,normal
JE100523,0.1329,normal
JE101137,0.1531,normal
JE104763,0.2354,normal
JE105901,0.1257,normal
JE101507,0.2994,normal
JE105984,0.2529,normal
JE106496,0.1367,normal
JE101344,0.2695,normal
JE102520,0.3082,normal
JE100583,0.2745,normal
JE106604,0.2961,normal
JE107053,0.1675,normal
JE102626,0.1298,normal
JE107501,0.1971,normal
JE106870,0.1748,normal
JE101902,0.2465,normal
JE100706,0.1455,normal
JE105929,0.4487,anomaly
JE100798,0.2532,normal
JE104297,0.3236,normal
JE101742,0.2,normal
JE105973,0.1657,normal
JE106376,0.3421,normal
JE106755,0.2238,normal
JE106454,0.3392,normal
JE107137,0.1269,normal
JE107389,0.2006,normal
JE101264,0.1116,normal
JE101498,0.4792,anomaly
JE101058,0.3421,normal
JE102934,0.2561,normal
JE101941,0.3491,normal
JE104085,0.3532,normal
JE101565,0.2065,normal
JE104300,0.2335,normal
JE104552,0.2295,normal
JE103257,0.3002,normal
JE100728,0.1712,normal
JE100375,0.307,normal
JE102606,0.2307,normal
JE100434,0.3573,normal
JE106665,0.2525,normal
JE107834,0.271,normal
JE100701,0.3422,normal
JE106816,0.3006,normal
JE107740,0.3082,normal
JE103020,0.5533,anomaly
JE100564,0.0555,normal
JE104354,0.2618,normal
JE107419,0.1279,normal
JE102272,0.168,normal
JE101956,0.4025,normal
JE100296,0.3148,normal
JE107617,0.4643,anomaly
JE105479,0.216,normal
JE101666,0.3996,normal
JE101798,0.2856,normal
JE104417,0.2725,normal
JE106885,0.1194,normal
JE103474,0.3081,normal
JE103861,0.298,normal
JE103618,0.3644,normal
JE100806,0.1158,normal
JE105259,0.2517,normal
JE100995,0.3716,normal
JE105937,0.213,normal
JE100597,0.3727,normal
JE100388,0.2743,normal
JE108068,0.8428,anomaly
JE101797,0.2281,normal
JE106651,0.1561,normal
JE100731,0.1912,normal
JE105871,0.1801,normal
JE102704,0.2025,normal
JE101194,0.2175,normal
JE102569,0.2452,normal
JE105681,0.4306,normal
JE104398,0.1074,normal
JE100096,0.1799,normal
JE102262,0.307,normal
JE101180,0.1418,normal
JE101225,0.1571,normal
JE100781,0.2306,normal
JE100135,0.3188,normal
JE102593,0.1278,normal
JE104831,0.2723,normal
JE103610,0.2534,normal
JE105538,0.1216,normal
JE101123,0.1965,normal
JE107587,0.2257,normal
JE107288,0.1983,normal
JE103962,0.1856,normal
JE105225,0.5738,anomaly
JE106380,0.3167,normal
JE106548,0.3681,normal
JE100102,0.2514,normal
JE101647,0.4403,anomaly
JE100461,0.426,normal
JE103284,0.2369,normal
JE107304,0.1283,normal
JE106021,0.1646,normal
JE103363,0.3084,normal
JE100900,0.0978,normal
JE104084,0.3506,normal
JE107036,0.269,normal
JE102949,0.1663,normal
JE103726,0.2418,normal
JE105012,0.151,normal
JE105026,0.455,anomaly
JE107527,0.2201,normal
JE102993,0.3681,normal
JE102647,0.1432,normal
JE105145,0.2168,normal
JE105179,0.1787,normal
JE103420,0.1495,normal
JE103743,0.1913,normal
JE100719,0.3211,normal
JE105416,0.2426,normal
JE105077,0.2062,normal
JE100247,0.4619,anomaly
JE107286,0.3413,normal
JE105162,0.2729,normal
JE101079,0.1623,normal
JE106980,0.2513,normal
JE105160,0.2945,normal
JE103172,0.2794,normal
JE105371,0.3484,normal
JE102601,0.2472,normal
JE104267,0.162,normal
JE102344,0.3551,normal
JE103222,0.0959,normal
JE100277,0.1394,normal
JE103360,0.3787,normal
JE100789,0.4119,normal
JE104445,0.4681,anomaly
JE107180,0.5076,anomaly
JE102464,0.2169,normal
JE102288,0.1938,normal
JE102634,0.103,normal
JE102807,0.2879,normal
JE103475,0.1949,normal
JE105877,0.3326,normal
JE101998,0.1881,normal
JE100408,0.1961,normal
JE105525,0.2101,normal
JE105195,0.3093,normal
JE100460,0.2642,normal
JE106121,0.3525,normal
JE105365,0.1222,normal
JE103160,0.2483,normal
JE101385,0.4151,normal
JE105356,0.2827,normal
JE107961,0.1714,normal
JE103041,0.2353,normal
JE105213,0.2952,normal
JE101355,0.1756,normal
JE107168,0.1625,normal
JE102793,0.2633,normal
JE101512,0.1556,normal
JE105390,0.2113,normal
JE100057,0.187,normal
JE105495,0.2766,normal
JE107904,0.2298,normal
JE100416,0.1629,normal
JE106339,0.2677,normal
JE102532,0.1859,normal
JE104703,0.3545,normal
JE103515,0.1677,normal
JE104878,0.2591,normal
JE101084,0.297,normal
JE101864,0.1168,normal
JE101873,0.2986,normal
JE100935,0.2924,normal
JE106357,0.5705,anomaly
JE101788,0.1394,normal
JE100906,0.152,normal
JE102318,0.0993,normal
JE103544,0.3045,normal
JE106876,0.2432,normal
JE101708,0.3009,normal
JE102521,0.126,normal
JE107692,0.2344,normal
JE106017,0.2713,normal
JE101420,0.2176,normal
JE103024,0.221,normal
JE105922,0.1615,normal
JE106240,0.1668,normal
JE105116,0.1916,normal
JE105527,0.349,normal
JE100577,0.3369,normal
JE102194,0.2084,normal
JE104176,0.1925,normal
JE106618,0.5602,anomaly
JE108072,0.6382,anomaly
JE100413,0.3835,normal
JE100047,0.0758,normal
JE107804,0.2678,normal
JE103709,0.1603,normal
JE103943,0.2821,normal
JE106471,0.2382,normal
JE107023,0.3892,normal
JE105910,0.2554,normal
JE105087,0.4758,anomaly
JE103643,0.1872,normal
JE105122,0.3504,normal
JE104661,0.355,normal
JE100276,0.1403,normal
JE104991,0.268,normal
JE106718,0.1149,normal
JE102774,0.2574,normal
JE103115,0.1848,normal
JE106117,0.3148,normal
JE101203,0.4101,normal
JE103605,0.2053,normal
JE104892,0.1709,normal
JE103676,0.1658,normal
JE100611,0.2526,normal
JE101859,0.2769,normal
JE105841,0.201,normal
JE107698,0.3952,normal
JE100893,0.2776,normal
JE104130,0.0766,normal
JE101978,0.3765,normal
JE101876,0.2167,normal
JE102826,0.3958,normal
JE106817,0.1497,normal
JE106608,0.2277,normal
JE103749,0.2379,normal
JE101715,0.2558,normal
JE108088,0.6421,anomaly
JE105881,0.332,normal
JE107816,0.2591,normal
JE103083,0.2111,normal
JE101042,0.118,normal
JE106970,0.1845,normal
JE106715,0.255,normal
JE106148,0.2425,normal
JE100950,0.163,normal
JE104279,0.2289,normal
JE105184,0.1705,normal
JE103273,0.2684,normal
JE100188,0.3086,normal
JE106790,0.1544,normal
JE103165,0.3447,normal
JE106864,0.3627,normal
JE106206,0.3691,normal
JE102615,0.2951,normal
JE103783,0.1876,normal
JE105986,0.139,normal
JE104565,0.4715,anomaly
JE107830,0.2599,normal
JE107937,0.3709,normal
JE104677,0.2501,normal
JE106190,0.3154,normal
JE106549,0.1647,normal
JE107533,0.383,normal
JE107553,0.2795,normal
JE103694,0.3347,normal
JE106026,0.3887,normal
JE107166,0.2953,normal
JE102169,0.2519,normal
JE101168,0.2405,normal
JE100800,0.2676,normal
JE101087,0.2864,normal
JE102533,0.2931,normal
JE101602,0.4177,normal
JE104081,0.1372,normal
JE102798,0.1115,normal
JE107403,0.1958,normal
JE102414,0.1894,normal
JE101242,0.2969,normal
JE102157,0.254,normal
JE101435,0.277,normal
JE105896,0.1699,normal
JE107217,0.2155,normal
JE103061,0.2128,normal
JE105322,0.1654,normal
JE106752,0.1128,normal
JE105163,0.2371,normal
JE106863,0.2903,normal
JE102897,0.1979,normal
JE107329,0.352,normal
JE105658,0.2963,normal
JE101210,0.334,normal
JE103871,0.1775,normal
JE107186,0.3101,normal
JE104094,0.1845,normal
JE101643,0.0319,normal
JE105103,0.1837,normal
JE100452,0.2527,normal
JE100902,0.1617,normal
JE104508,0.3626,normal
JE101831,0.2867,normal
JE105324,0.3008,normal
JE100184,0.3268,normal
JE105905,0.2795,normal
JE104973,0.2591,normal
JE104412,0.194,normal
JE103228,0.2309,normal
JE103091,0.1094,normal
JE104513,0.2442,normal
JE104196,0.1762,normal
JE104737,0.2235,normal
JE105237,0.1769,normal
JE107968,0.1956,normal
JE104461,0.2365,normal
JE100054,0.2285,normal
JE102778,0.1039,normal
JE101461,0.2506,normal
JE101996,0.4107,normal
JE105139,0.1791,normal
JE106676,0.1049,normal
JE102070,0.533,anomaly
JE105869,0.2376,normal
JE104646,0.2712,normal
JE107515,0.2478,normal
JE100522,0.2177,normal
JE104845,0.3244,normal
JE100755,0.2568,normal
JE105424,0.1347,normal
JE107952,0.3555,normal
JE108094,0.7116,anomaly
JE104610,0.2033,normal
JE103620,0.1478,normal
JE108022,0.5501,anomaly
JE106605,0.2411,normal
JE106152,0.2834,normal
JE105415,0.2905,normal
JE105442,0.3071,normal
JE106272,0.4268,normal
JE105687,0.3722,normal
JE102726,0.192,normal
JE101525,0.2112,normal
JE105718,0.2216,normal
JE105979,0.2263,normal
JE102776,0.1339,normal
JE101819,0.1814,normal
JE104624,0.1854,normal
JE106828,0.1698,normal
JE104965,0.1861,normal
JE103031,0.2206,normal
JE101280,0.0954,normal
JE100836,0.1352,normal
JE100447,0.1892,normal
JE101422,0.122,normal
JE104822,0.1871,normal
JE106298,0.3885,normal
JE107020,0.2464,normal
JE103227,0.2036,normal
JE105536,0.4877,anomaly
JE104284,0.2989,normal
JE105575,0.2407,normal
JE103045,0.1048,normal
JE101569,0.3172,normal
JE106739,0.3144,normal
JE103623,0.0853,normal
JE107097,0.4209,normal
JE102785,0.283,normal
JE102210,0.2002,normal
JE102721,0.3376,normal
JE102587,0.4677,anomaly
JE103716,0.2525,normal
JE106791,0.3294,normal
JE100744,0.195,normal
JE107017,0.1992,normal
JE102347,0.4671,anomaly
JE105423,0.3268,normal
JE103116,0.2745,normal
JE107803,0.195,normal
JE107111,0.2668,normal
JE102924,0.1584,normal
JE101436,0.1998,normal
JE105144,0.1495,normal
JE107939,0.2454,normal
JE102247,0.2107,normal
JE100508,0.2256,normal
JE106598,0.2773,normal
JE106850,0.3277,normal
JE102484,0.2319,normal
JE101755,0.1293,normal
JE104278,0.262,normal
JE107353,0.37,normal
JE101196,0.1784,normal
JE101016,0.1037,normal
JE103139,0.2794,normal
JE105751,0.2161,normal
JE102636,0.2133,normal
JE105250,0.1386,normal
JE100763,0.4727,anomaly
JE104524,0.3422,normal
JE103679,0.1554,normal
JE104580,0.2739,normal
JE101648,0.218,normal
JE102278,0.2745,normal
JE105478,0.2356,normal
JE101642,0.3481,normal
JE100025,0.132,normal
JE107767,0.2922,normal
JE104906,0.1107,normal
JE102142,0.0646,normal
JE102668,0.3119,normal
JE100552,0.3976,normal
JE102653,0.1149,normal
JE105180,0.2842,normal
JE100146,0.2851,normal
JE105110,0.2472,normal
JE105570,0.1799,normal
JE100739,0.4615,anomaly
JE100579,0.281,normal
JE102332,0.3411,normal
JE105466,0.3117,normal
JE101133,0.2349,normal
JE100512,0.2564,normal
JE103185,0.4103,normal
JE107069,0.4424,anomaly
JE101164,0.244,normal
JE107098,0.3213,normal
JE101335,0.1614,normal
JE100150,0.2893,normal
JE105498,0.1124,normal
JE101303,0.4064,normal
JE107432,0.3889,normal
JE100489,0.2398,normal
JE101376,0.2896,normal
JE100080,0.433,normal
JE102536,0.2011,normal
JE101116,0.2239,normal
JE101333,0.3619,normal
JE104969,0.4971,anomaly
JE101550,0.1685,normal
JE102087,0.1596,normal
JE106735,0.2604,normal
JE102687,0.2367,normal
JE106512,0.2211,normal
JE101741,0.2646,normal
JE104197,0.2356,normal
JE106624,0.1652,normal
JE100853,0.3908,normal
JE102760,0.379,normal
JE104277,0.1925,normal
JE106317,0.3038,normal
JE100896,0.3346,normal
JE106494,0.1804,normal
JE100282,0.3236,normal
JE107653,0.1951,normal
JE102025,0.268,normal
JE103324,0.2068,normal
JE103243,0.2531,normal
JE107321,0.1451,normal
JE102574,0.4685,anomaly
JE104870,0.2763,normal
JE105547,0.3148,normal
JE105800,0.1756,normal
JE104835,0.2087,normal
JE105667,0.2715,normal
JE105011,0.322,normal
JE105968,0.3214,normal
JE107060,0.2057,normal
JE104000,0.3413,normal
JE107819,0.2016,normal
JE102433,0.1927,normal
JE108053,0.6275,anomaly
JE103254,0.2937,normal
JE106488,0.2637,normal
JE105277,0.1651,normal
JE103936,0.2751,normal
JE106946,0.1782,normal
JE101145,0.1287,normal
JE107760,0.1947,normal
JE100831,0.277,normal
JE106532,0.1245,normal
JE102170,0.1726,normal
JE104576,0.3051,normal
JE104875,0.3079,normal
JE101325,0.2388,normal
JE100014,0.3652,normal
JE104229,0.2739,normal
JE100949,0.1218,normal
JE103166,0.3151,normal
JE107189,0.2239,normal
JE101705,0.4336,normal
JE108116,0.6187,anomaly
JE107263,0.1987,normal
JE106688,0.188,normal
JE107244,0.1838,normal
JE104955,0.2179,normal
JE106694,0.427,normal
JE103548,0.5521,anomaly
JE101193,0.2027,normal
JE103567,0.1243,normal
JE100485,0.3602,normal
JE102036,0.3618,normal
JE104221,0.2979,normal
JE105678,0.3366,normal
JE103889,0.2342,normal
JE104952,0.2486,normal
JE102407,0.2711,normal
JE100516,0.2867,normal
JE100027,0.246,normal
JE101171,0.2217,normal
JE102586,0.098,normal
JE107573,0.1561,normal
JE101330,0.1587,normal
JE104214,0.3781,normal
JE107893,0.1241,normal
JE105305,0.3175,normal
JE106027,0.1863,normal
JE101882,0.1954,normal
JE102041,0.2045,normal
JE106150,0.2937,normal
JE107452,0.1532,normal
JE106938,0.2522,normal
JE100886,0.3416,normal
JE103637,0.1903,normal
JE107161,0.4134,normal
JE101584,0.2376,normal
JE103009,0.2337,normal
JE107504,0.1885,normal
JE105665,0.1784,normal
JE104938,0.2526,normal
JE101770,0.1151,normal
JE102906,0.3235,normal
JE101662,0.1631,normal
JE105316,0.1729,normal
JE101198,0.2503,normal
JE102767,0.2776,normal
JE103740,0.3199,normal
JE104477,0.2499,normal
JE107807,0.2559,normal
JE100501,0.3156,normal
JE105533,0.1927,normal
JE103878,0.189,normal
JE100492,0.2426,normal
JE105468,0.1509,normal
JE101658,0.2917,normal
JE106613,0.2193,normal
JE108050,0.6424,anomaly
JE100403,0.3154,normal
JE103356,0.1997,normal
JE100997,0.2718,normal
JE105644,0.306,normal
JE103633,0.2505,normal
JE108134,0.6505,anomaly
JE104362,0.2572,normal
JE108070,0.6382,anomaly
JE102931,0.3049,normal
JE106244,0.1572,normal
JE102656,0.2178,normal
JE102334,0.2441,normal
JE105499,0.2102,normal
JE100267,0.2814,normal
JE106200,0.1715,normal
JE106592,0.2459,normal
JE100064,0.1984,normal
JE101832,0.2799,normal
JE106782,0.3193,normal
JE106094,0.0868,normal
JE100457,0.0876,normal
JE105292,0.2372,normal
JE102496,0.3998,normal
JE100214,0.5054,anomaly
JE104741,0.4473,anomaly
JE101641,0.2522,normal
JE106533,0.2268,normal
JE100009,0.0882,normal
JE107854,0.1461,normal
JE103048,0.143,normal
JE104531,0.1749,normal
JE101667,0.1791,normal
JE101442,0.4239,normal
JE104867,0.2775,normal
JE101003,0.1447,normal
JE106284,0.2002,normal
JE104755,0.3884,normal
JE102800,0.2651,normal
JE107333,0.3944,normal
JE106457,0.3976,normal
JE100702,0.1839,normal
JE107330,0.2095,normal
JE103996,0.1671,normal
JE106857,0.3629,normal
JE100672,0.2605,normal
JE105581,0.3376,normal
JE108087,0.647,anomaly
JE103226,0.373,normal
JE107234,0.2243,normal
JE107811,0.3049,normal
JE102927,0.2384,normal
JE107057,0.2528,normal
JE107316,0.2402,normal
JE101226,0.3195,normal
JE104988,0.1673,normal
JE102465,0.2775,normal
JE107661,0.2253,normal
JE104326,0.1912,normal
JE103111,0.1607,normal
JE106334,0.2353,normal
JE107709,0.1257,normal
JE104008,0.2687,normal
JE104815,0.235,normal
JE105875,0.3007,normal
JE107445,0.1274,normal
JE102029,0.3508,normal
JE106524,0.2116,normal
JE102700,0.2672,normal
JE101127,0.2173,normal
JE106430,0.3439,normal
JE106290,0.2576,normal
JE104669,0.22,normal
JE101803,0.181,normal
JE104944,0.2334,normal
JE102022,0.2509,normal
JE105431,0.3038,normal
JE102651,0.181,normal
JE106965,0.196,normal
JE103802,0.4189,normal
JE102828,0.1467,normal
JE101071,0.3636,normal
JE105813,0.0876,normal
JE101437,0.2078,normal
JE103449,0.2821,normal
JE104234,0.159,normal
JE102302,0.2434,normal
JE100132,0.3025,normal
JE105201,0.0898,normal
JE107296,0.3159,normal
JE107918,0.2283,normal
JE106901,0.3585,normal
JE106241,0.2655,normal
JE104443,0.3246,normal
JE104369,0.2599,normal
JE100053,0.2082,normal
JE107809,0.3293,normal
JE108128,0.72,anomaly
JE105814,0.1744,normal
JE106205,0.2783,normal
JE102456,0.2758,normal
JE103422,0.1754,normal
JE101096,0.2297,normal
JE101499,0.5527,anomaly
JE107294,0.2517,normal
JE102781,0.3971,normal
JE104497,0.2257,normal
JE104427,0.3186,normal
JE104203,0.3477,normal
JE104236,0.3813,normal
JE105307,0.0971,normal
JE102568,0.193,normal
JE101219,0.3579,normal
JE102585,0.3214,normal
JE104307,0.2607,normal
JE100758,0.181,normal
JE100572,0.3111,normal
JE104810,0.3167,normal
JE101767,0.4677,anomaly
JE105969,0.2432,normal
JE107960,0.3387,normal
JE104025,0.275,normal
JE101142,0.2306,normal
JE107318,0.2516,normal
JE107291,0.2255,normal
JE106350,0.2901,normal
JE102159,0.1876,normal
JE102398,0.3124,normal
JE101875,0.2321,normal
JE103034,0.4558,anomaly
JE107368,0.2445,normal
JE104045,0.4393,anomaly
JE106447,0.1449,normal
JE106439,0.2841,normal
JE103546,0.2035,normal
JE101408,0.3568,normal
JE100986,0.1494,normal
JE101286,0.1863,normal
JE107212,0.2918,normal
JE106263,0.2173,normal
JE101214,0.2638,normal
JE101539,0.1865,normal
JE106313,0.2999,normal
JE107297,0.2889,normal
JE101709,0.2296,normal
JE101870,0.4756,anomaly
JE106656,0.2533,normal
JE101684,0.2154,normal
JE102016,0.1908,normal
JE107344,0.3101,normal
JE106899,0.3237,normal
JE102495,0.1147,normal
JE101321,0.1677,normal
JE107615,0.3711,normal
JE106489,0.2087,normal
JE105803,0.2807,normal
JE105965,0.2329,normal
JE106998,0.1486,normal
JE102270,0.2355,normal
JE103636,0.2279,normal
JE102999,0.2664,normal
JE103477,0.2763,normal
JE102009,0.2223,normal
JE100182,0.2266,normal
JE102339,0.2677,normal
JE104252,0.1745,normal
JE105104,0.1498,normal
JE104936,0.2891,normal
JE105070,0.2075,normal
JE104916,0.337,normal
JE104783,0.3403,normal
JE104175,0.3383,normal
JE104145,0.2944,normal
JE107005,0.3087,normal
JE105271,0.2165,normal
JE102224,0.2278,normal
JE101173,0.2639,normal
JE107677,0.2907,normal
JE106079,0.2148,normal
JE104215,0.2519,normal
JE107285,0.2236,normal
JE104735,0.2872,normal
JE107447,0.4408,anomaly
JE106227,0.3754,normal
JE106002,0.2004,normal
JE103810,0.2805,normal
JE105381,0.2761,normal
JE100633,0.328,normal
JE103701,0.2702,normal
JE106364,0.3143,normal
JE102974,0.4621,anomaly
JE105378,0.297,normal
JE104921,0.2688,normal
JE106043,0.5184,anomaly
JE105988,0.0831,normal
JE102773,0.152,normal
JE105920,0.1711,normal
JE101773,0.1277,normal
JE105659,0.3993,normal
JE100480,0.1654,normal
JE104951,0.2565,normal
JE106889,0.2409,normal
JE105297,0.1303,normal
JE105526,0.1782,normal
JE102524,0.2237,normal
JE103574,0.2229,normal
JE100595,0.1609,normal
JE106283,0.1329,normal
JE103520,0.2982,normal
JE108076,0.6937,anomaly
JE102552,0.2005,normal
JE102992,0.342,normal
JE102424,0.0746,normal
JE103869,0.2783,normal
JE103017,0.3127,normal
JE103167,0.1413,normal
JE103022,0.1452,normal
JE106708,0.2789,normal
JE107113,0.2614,normal
JE104945,0.2963,normal
JE103531,0.2946,normal
JE105828,0.3405,normal
JE107897,0.2871,normal
JE108043,0.3672,normal
JE106287,0.3983,normal
JE103770,0.2429,normal
JE100864,0.209,normal
JE104612,0.2704,normal
JE103664,0.2219,normal
JE100624,0.6091,anomaly
JE104030,0.1508,normal
JE100055,0.2586,normal
JE106416,0.1656,normal
JE100178,0.2317,normal
JE106124,0.1589,normal
JE104360,0.2008,normal
JE103638,0.0983,normal
JE106542,0.2176,normal
JE103764,0.2312,normal
JE101032,0.2111,normal
JE105101,0.2578,normal
JE105780,0.2701,normal
JE104899,0.0396,normal
JE103941,0.2745,normal
JE104826,0.302,normal
JE106062,0.363,normal
JE106960,0.2672,normal
JE106630,0.0612,normal
JE105936,0.2258,normal
JE107143,0.2629,normal
JE103953,0.2795,normal
JE102868,0.1835,normal
JE104233,0.2334,normal
JE105827,0.2055,normal
JE100420,0.2215,normal
JE103132,0.1909,normal
JE105181,0.3307,normal
JE107009,0.2994,normal
JE102846,0.1878,normal
JE103016,0.2726,normal
JE100787,0.2126,normal
JE100371,0.0674,normal
JE106092,0.1037,normal
JE102100,0.0979,normal
JE106335,0.0756,normal
JE107478,0.1831,normal
JE100771,0.4075,normal
JE102938,0.1407,normal
JE104048,0.4083,normal
JE100422,0.2652,normal
JE102548,0.2246,normal
JE101258,0.1902,normal
JE103680,0.2381,normal
JE102556,0.2417,normal
JE107570,0.2119,normal
JE106174,0.1814,normal
JE106920,0.2072,normal
JE103211,0.4093,normal
JE107495,0.3158,normal
JE105808,0.1946,normal
JE101261,0.1971,normal
JE100195,0.132,normal
JE100532,0.2167,normal
JE106915,0.1671,normal
JE105319,0.2116,normal
JE103304,0.241,normal
JE103175,0.2296,normal
JE103187,0.1655,normal
JE107366,0.1663,normal
JE101230,0.4367,normal
